VALUE	SESSIONLENGTH	FREQUENCY	TIMER
18770	6.208	1810	FID
20670	4.419	1303	FID
24470	6.297	722	FID
13500	6.583	4633	FID
10150	6.063	11402	FID
1720	6.183	458677	FID
9230	5.666	15136	FID
6730	6.051	37968	FID
5240	6.181	70764	FID
22400	4.943	1120	FID
7840	6.347	24062	FID
13950	5.582	4092	FID
13330	5.902	5037	FID
15620	6.275	2958	FID
20290	4.133	1312	FID
8760	5.614	16983	FID
1210	6.21	588540	FID
2310	6.57	338407	FID
7970	6.062	22381	FID
19600	4.839	1627	FID
19990	5.407	1342	FID
17690	4.896	1905	FID
17210	5.154	2073	FID
24300	5.036	735	FID
29280	4.984	377	FID
24770	6.099	701	FID
29440	5.727	414	FID
4720	6.346	93485	FID
11330	5.191	7965	FID
7560	5.795	26525	FID
7150	5.877	31113	FID
13710	6.62	4146	FID
27660	4.395	596	FID
19980	4.671	1441	FID
21820	6.014	923	FID
8540	5.971	18395	FID
29030	5.3	380	FID
100	6.643	3740600	FID
3350	6.708	196099	FID
2110	6.424	376577	FID
11250	5.354	8107	FID
8370	5.811	19807	FID
4540	6.167	102497	FID
12810	6.23	5262	FID
19750	5.115	1474	FID
23140	5.596	918	FID
12420	5.096	5953	FID
21860	6.603	917	FID
13250	5.491	4695	FID
11150	5.85	8593	FID
13210	5.297	4740	FID
18490	5.098	1884	FID
28500	4.204	490	FID
24930	8.681	662	FID
28940	3.704	446	FID
4560	6.46	100092	FID
830	6.254	681881	FID
1530	6.129	503357	FID
5460	6.293	63075	FID
11810	5.37	6975	FID
5160	6.059	75393	FID
20180	5.243	1461	FID
8060	6.316	22430	FID
12240	6.018	6467	FID
15360	5.661	3015	FID
13760	6.161	4575	FID
18170	4.984	1722	FID
19490	5.344	1554	FID
25470	4.8	730	FID
29150	4.689	447	FID
17370	4.955	2194	FID
11080	4.937	8764	FID
27400	3.196	549	FID
1870	6.349	424295	FID
5110	6.381	74294	FID
4310	6.554	114444	FID
3170	6.658	216513	FID
6240	5.999	44135	FID
14530	6.159	3732	FID
9470	5.583	13695	FID
15140	5.309	3256	FID
24100	5.704	761	FID
29880	5.169	378	FID
5000	6.239	79573	FID
24260	6.387	744	FID
26560	4.293	579	FID
9420	5.446	13524	FID
11070	5.666	8401	FID
16990	5.494	2292	FID
20380	4.901	1356	FID
17960	6.295	2122	FID
28470	5.617	431	FID
24070	5.754	826	FID
29470	5.61	442	FID
17260	5.641	2187	FID
28160	4.683	527	FID
2510	6.625	305878	FID
2670	6.817	284226	FID
17230	4.734	2147	FID
13220	6.093	5134	FID
10510	5.255	9700	FID
9560	5.77	13261	FID
24530	4.151	718	FID
26910	9.065	577	FID
29490	4.873	372	FID
29480	4.271	368	FID
28760	5.273	476	FID
3580	6.633	173891	FID
3310	6.721	200524	FID
7480	5.575	26408	FID
22280	5.914	1044	FID
8560	5.784	18932	FID
15080	5.671	3332	FID
27810	13.084	547	FID
25250	5.315	675	FID
20910	5.089	1192	FID
22480	4.687	826	FID
27870	6.056	528	FID
25290	5.426	605	FID
