TTFB,TTI,FREQ
39,3715,201017
931,5889,200933
934,5903,200476
936,5942,200431
69,3290,200315
933,5897,200183
68,3317,200172
66,3317,199595
935,5905,199361
938,5900,199319
40,3723,199236
67,3323,198778
940,5932,198719
65,3349,198555
939,5915,198536
937,5903,198458
942,5936,198361
943,5911,197984
41,3675,197895
946,5932,197856
944,5914,197834
42,3674,197732
941,5928,197713
64,3352,197691
950,5945,197367
945,5940,197088
948,5935,197014
947,5938,196942
952,5939,196865
949,5933,196371
62,3384,196258
63,3376,196020
951,5952,195953
43,3639,195593
953,5961,195561
44,3617,195180
955,5959,195154
61,3381,195151
956,5965,194757
954,5967,194705
60,3405,194492
957,5951,194441
958,5987,194055
45,3564,193934
960,5974,193852
961,6022,193642
59,3405,193447
959,5974,193410
962,5966,193131
46,3573,193105
58,3419,192622
48,3534,192375
979,5879,192184
47,3551,192156
963,5997,192131
964,5999,191827
966,6002.5,191800
57,3407,191790
967,5988,191702
965,5996,191603
56,3438,191422
968,6011,191374
49,3503,191295
970,6024,190832
50,3516,190829
969,6005,190558
971,6017,190340
55,3436,190218
976,6014,190126
973,6016,189690
52,3479,189578
974,5988,189431
54,3426,189315
972,6011,189261
51,3477,189145
978,6031,189126
975,6039,189024
53,3470,188995
982,6022,188413
981,6038,188246
980,6020,188150
977,6010,187986
984,6043,187899
983,6025,187206
988,6075,186721
986,6043,186620
985,6045,186578
990,6038,185996
987,6044,185971
989,6050,185092
991,6063,184987
1000,6097,184954
992,6057,184870
995,6060,184726
994,6044,184658
998,6069,184656
993,6049,184591
996,6077,184274
997,6072,183844
999,6063,183799
1002,6060,182678
1010,6068,182489
1006,6087,182377
1005,6072,182226
1001,6083,182044
1012,6088,181689
1011,6083,181686
1003,6067,181608
1004,6068,181577
1013,6082,181536
1008,6101,181473
1015,6102,181432
1007,6098,181325
1014,6093,181228
1009,6086,181199
1017,6107,181108
1018,6107,180746
1019,6101,180630
1016,6106,180615
1021,6111,179807
1022,6090,179418
1023,6122,179391
1020,6127,179045
1024,6093,178833
1030,6133,178618
1027,6120,178495
1028,6114,178265
1025,6099,178258
1026,6118,178136
1029,6123,178008
1044,6345,177819
1032,6139,177305
1031,6132,176705
1033,6151,176681
1034,6137,175934
1036,6172,175106
1035,6132,174914
1037,6126,174756
1039,6175,173987
1038,6174,173915
1040,6191,173912
1041,6151,173111
1045,6183,172822
1043,6176,172796
1046,6191,172439
1042,6164,172212
1049,6201,171849
1047,6165,171617
1048,6194,171431
1051,6210,171142
1050,6218,170970
1053,6205.5,170492
1055,6188,170352
1052,6191,170149
1054,6198,169725
1058,6211,169603
1056,6216,169587
1059,6213,169297
1060,6207,169015
1057,6214,168680
1061,6221,168517
1063,6198,168379
1062,6244,168049
1066,6240,167844
1064,6241,167524
1065,6240,167324
1068,6241.5,166934
1067,6241,166696
1069,6218,166371
1070,6254,165980
1071,6261,165772
1078,6272,165432
1072,6232.5,165376
1076,6266,165363
1074,6245,165103
1075,6253,164973
1073,6261,164872
1080,6281,164754
1077,6279,164600
1079,6258,164458
1081,6290,163979
1084,6301,163942
1082,6286,163849
1083,6274,163351
1085,6288,162863
1088,6278,162572
1086,6296,162233
1087,6303,162217
1089,6286,161961
1091,6331,161831
1090,6309,161810
1092,6297,161244
1093,6324,161183
1098,6328,161060
1099,6312,160902
1094,6319,160746
1096,6310,160516
1097,6322,160451
1102,6323,160424
1095,6322,160352
1100,6327,160173
1103,6333,159393
1104,6333,159088
1101,6324,158825
1105,6306,158686
1106,6358,158666
1107,6351,158643
1108,6353,158157
1111,6348,158039
1109,6349,157922
1110,6354,157796
1112,6355,157781
1113,6349,157319
1116,6372,157153
1118,6381,156881
1115,6376,156777
1126,6298,156771
1114,6360,156463
1122,6380,156229
1117,6350,156226
1119,6392,156025
1120,6375,155791
1123,6374,155578
1124,6387,155537
1121,6371,155138
1125,6400,154930
1127,6400,154451
1129,6397,154059
1130,6374,154051
1128,6402,153993
1136,6398,153780
1135,6394,153741
1132,6389,153631
1133,6391,153590
1131,6394,153510
1134,6394.5,153172
1138,6424,153068
1140,6458,152473
1139,6450,151991
1137,6424,151965
1142,6444,151804
1150,6473,151618
1144,6445,151466
1141,6430,151255
1146,6437,151142
1143,6436,151072
1145,6417,150766
1149,6442,150132
1148,6446,149816
1147,6458,149797
1152,6454,149458
1156,6484,149316
1155,6429,148974
1154,6478,148835
1151,6446,148740
1153,6458,148420
1160,6457,148227
1162,6469,148199
1165,6449,148118
1157,6489,147957
1158,6471,147840
1163,6464,147408
1164,6494,147158
1159,6462,147088
1168,6496,146977
1167,6465,146732
1161,6457,146667
1170,6486,146349
1166,6467,146064
1169,6476,145897
1171,6469,145205
1172,6487,145129
1173,6484,145034
1175,6469,145004
1174,6480,144872
1176,6489,144644
1179,6476,144563
1178,6509,144547
1177,6520,144075
1181,6497,143978
1180,6513,143821
1182,6515,143432
1183,6502,143321
1184,6518,142735
1186,6527,142705
1185,6500,142624
1192,6545,142326
1188,6520,142084
1189,6506,142071
1190,6508,141988
1187,6527,141880
1191,6515,141313
1197,6510,141062
1196,6526,141007
1195,6499,140878
1194,6509,140677
1198,6516,140608
1193,6517,140413
1199,6529,140334
1200,6547,140296
1202,6522,140210
1201,6515,139711
1252,7057,139298
1203,6534,139028
1204,6530,139002
1207,6541,138647
1206,6534,138616
1208,6515,138480
1205,6521,138447
1211,6540,138233
1214,6561,137994
1213,6550,137914
1209,6542,137772
1210,6548,137757
1216,6534,137693
1212,6563,137570
1218,6552,136906
1217,6578.5,136880
1215,6535.5,136864
1220,6587,136741
1219,6575,136220
1222,6554,136219
1221,6586,136071
1224,6613,135304
1230,6602,135297
1225,6572,135292
1228,6589,135084
1226,6585,135040
1232,6600,134755
1223,6569,134709
1227,6595,134663
1231,6595,134461
1229,6611,134431
1236,6598,134300
1233,6607,133855
1234,6609,133719
1237,6603,133567
1238,6612,133509
1235,6643,133422
1240,6604,132996
1241,6604,132992
1242,6639,132975
1239,6632,132937
1243,6647.5,132700
1244,6609,132677
1245,6635,132503
1250,6637,132164
1247,6588,132062
1246,6604,131946
1253,6660,131634
1249,6630,131595
1248,6654,131508
1254,6640,131289
1251,6634,130884
1256,6622,130665
1257,6611,130621
1255,6679,130595
1262,6666,130345
1258,6681,130037
1260,6652,129967
1259,6663,129818
1263,6675,129732
1261,6673,129439
1264,6660,129327
1265,6685,129090
1267,6685.5,129042
1268,6682,128875
1266,6680,128800
1269,6692,128392
1270,6675,128123
1271,6714,128077
1274,6710.5,128066
1273,6726,128031
1298,6937,127831
1272,6702,127715
1278,6742,127597
1277,6748,127507
1276,6728,127403
1296,6928,127340
1275,6745,127336
1295,6870,127320
1297,6942,127187
1280,6760,126967
1279,6760,126812
1282,6736,126809
1284,6768,126649
1283,6763,126555
1288,6802.5,126430
1299,6954,126407
1281,6775,126255
1286,6799,126142
1300,6922.5,126080
1289,6794,125995
1287,6828.5,125970
1285,6796,125929
1290,6803,125801
1301,6893,125628
1294,6831,125591
1302,6883.5,125076
1293,6815,124854
1291,6788,124812
1292,6814,124513
1304,6861,124113
1303,6871,124077
1305,6856,123553
1306,6847,123503
1307,6835,123283
1308,6842,123153
1310,6849,123100
1313,6869,123075
1312,6850,122975
1314,6900,122866
1316,6877,122665
1315,6899,122646
1311,6885,122319
1309,6856,122248
1320,6902,122036
1317,6912,121699
1319,6875,121671
1318,6883,121507
1322,6864,121208
