JS_SIZE,TTI,FREQ
1022,4542.5,7636
1276,5203,7635
2991,6395,7635
618,3705.5,7634
641,5158,7634
1812,3256,7628
1518,5441,7626
2090,5981.5,7624
874,5632,7621
1160,4379,7620
1376,5435,7616
1175,5193,7611
94796,3475,7611
1231,4365,7611
1183,4592.5,7610
1521,5277,7609
1508,5668.5,7606
3226,3959,7603
1416,5906,7603
1190,4516.5,7602
2994,6209,7593
1256,4663,7591
1580,5472.5,7586
2255,5413,7586
663748,4422,7584
704,4486.5,7582
2839,4759,7579
1532,5509.5,7560
1957,2919,7555
1529,5798,7549
1520,5432,7546
11390,3588,7545
707797,13771,7540
2028,5467.5,7532
854,5341,7530
707,4607,7529
3228,3961,7528
62750,2628,7526
1579,5353,7521
10596,3320,7521
910362,44861.5,7518
126521,7678,7518
1497,5371,7517
2615,4445,7509
1351,4548,7507
2975,5895,7506
1249,5521,7503
1592,5108,7491
1594,5339,7482
9971,1389,7482
1349,4528,7480
1421,5447,7479
1034,4400,7476
642,5612.5,7470
1928,6511,7465
1177,4948,7464
11128,3443,7458
2608,6061,7454
15618,3347,7453
1271,5216,7453
11389,3696.5,7452
2244,5072.5,7446
34029,5029,7444
1362,5378,7442
3001,5957,7441
1270,5879,7439
2133,4796,7437
114356,4674,7437
3953,9709,7432
2838,5220,7429
419715,3800,7425
10793,3557,7424
52735,2286,7422
1308,5196,7421
1413,4780.5,7418
5224,951,7417
730,4508,7417
800,4722.5,7416
405,3970,7411
78947,4075,7410
1259,5009,7409
2714,5080,7402
96963,4405,7402
1577,5629.5,7400
11129,3394,7400
