LASTFONT,TTI,FREQ
2083,4682,217
1761,4414,217
2021,4849,217
1248,3475,217
1913,4662,217
1028,2993,217
2275,5398,217
2126,4988,217
2308,5153,217
1840,4336,217
816,2365,217
2157,5194,217
1799,4854,217
1929,4880,217
797,2315,217
2267,5218,217
1670,4368,217
2031,5092,217
869,2821,217
989,3008,217
2316,5549,217
2100,5243,217
1797,5085,217
924,2604,217
1957,4862,217
916,2609,217
850,2594,217
2043,5362,217
1975,4835,216
2090,4618.5,216
2027,4616.5,216
945,2915,216
874,2465.5,216
2017,5172,216
2213,5128,216
2291,5505,216
1470,3748.5,216
2435,5206,216
938,2654,216
1833,4643,216
1831,4536.5,216
2094,4773.5,216
2026,5091.5,216
960,3199.5,216
886,2557,215
926,2651,215
854,2648,215
2262,5171,215
2082,5011,215
2238,5505,215
2375,5431,215
1998,4641,215
1991,4625,215
1803,4546,215
840,2658,215
868,2590,215
1905,4396,215
832,2299,215
2093,4635,215
1987,4804,215
2297,5325,215
944,2684,215
2378,5171.5,214
1931,4891,214
2348,5390,214
2156,5097,214
2329,5233,214
803,2436,214
2385,5367.5,214
1060,3246,214
753,2465,214
1058,3160,214
1772,4018,214
1486,3463,214
2334,5086.5,214
2202,5539.5,214
2366,5709,214
2552,5797.5,214
2214,5247.5,214
864,2507,214
867,2672.5,214
1824,5054.5,214
956,2897.5,214
2060,4978,214
1256,3393,213
2212,5073,213
1009,3110,213
2092,5056,213
1977,5010,213
792,2254,213
2057,4502,213
807,2539,213
2295,5373,213
2313,5216,213
2024,5137,213
1393,3799,213
1901,4608,213
861,2627,213
1690,4256,213
879,2709,213
2263,5775,213
2119,5144,213
1910,4494,213
789,2766,213
2132,4849,213
877,2740,213
918,2417,213
1971,5325,213
768,2416,213
1008,2918,213
2443,5313,213
1974,4645,212
958,2541,212
2125,5112.5,212
1562,4151.5,212
2041,5028,212
930,2674,212
2127,4841.5,212
771,2802.5,212
1616,4328,212
1130,3041.5,212
927,2960,212
1478,4140,212
1888,4450,212
2408,5579,212
2360,5372,212
1456,3836.5,212
2421,5457.5,212
2394,5400,212
2105,5541,212
2259,5011,212
1983,5169.5,212
1982,5093,211
821,2452,211
820,2682,211
2298,4613,211
2163,4840,211
1902,4417,211
2162,5152,211
2036,4806,211
876,2676,211
2055,5000,211
2240,5064,211
781,2283,211
1951,5160,211
2361,5543,211
2020,4892,211
2515,6018,211
2019,4890,211
947,2806,211
1812,4926,211
2433,5654,211
903,2432,211
1144,3296,211
1699,4360,211
2448,5131,211
1523,4122,211
961,2580,211
2285,5373.5,210
849,2409,210
2137,4779,210
2622,5850.5,210
814,2486,210
2200,5708.5,210
2271,5273,210
1966,4980.5,210
2102,5205.5,210
2040,4771.5,210
2011,5321,209
2246,5516,209
2388,5889,209
798,2562,209
2698,5921,209
2124,5228,209
928,2741,209
1240,3666,209
2062,4880,209
2084,4827,209
2134,4845,209
2320,4912,209
841,2700,209
2273,5081,209
1961,4861,209
1691,4248,209
1805,4716,209
889,2620,209
884,2729,209
2228,4998,209
2061,4956,209
2222,5369,209
2248,5331,208
2479,5674,208
2001,4747.5,208
1419,3774.5,208
796,2213.5,208
2434,5698,208
1685,4045.5,208
1719,4502,208
898,2541,208
942,3005,208
1968,4341,208
2000,5347.5,208
2573,5609,208
1970,4837.5,208
2457,5263.5,208
2279,5482.5,208
1958,4696,208
2269,5231,208
737,2357.5,208
2215,4831.5,208
2032,5020,208
2256,5306.5,208
2144,5321.5,208
844,2618,208
1531,3875,207
2314,5366,207
2292,5332,207
2431,5163,207
1790,4576,207
2152,4942,207
2115,5192,207
1837,4885,207
2175,4562,207
2251,5106,207
2087,5511,207
914,2953,207
2442,5604,207
2107,4871,207
1899,4878,207
799,2645,207
2221,5176,207
2321,5327,207
2603,5933,207
2201,5585,207
2261,5547,206
2166,5529,206
2402,5938,206
941,2718,206
2131,5192.5,206
1880,5239,206
2526,5778,206
791,2444.5,206
838,2431,206
2319,5634.5,206
2456,6219.5,206
2046,4792,205
2493,5444,205
2069,4553,205
822,2385,205
2182,5261,205
2272,5407,205
2030,4718,205
856,2433,205
2247,5075,205
870,2531,205
2185,5049,205
902,2743,205
859,2654,205
1962,4649,205
2299,5064,204
2037,4638.5,204
2289,5298.5,204
2467,5640.5,204
1766,3790,204
815,2428.5,204
2675,5912.5,204
1825,4203,204
963,2821,204
1088,3010,204
1882,4821.5,204
2715,6057,204
2438,6181.5,204
2318,5044.5,204
873,2616,204
834,2757,204
2218,5005.5,204
2353,5335.5,204
848,2773.5,204
2294,5392,203
2050,5222,203
2413,4912,203
760,2053,203
2463,5935,203
734,2257,203
2068,4693,203
1941,5094,203
2327,5476,203
1767,4353,203
2621,5672,203
2174,4838,203
2335,5164,203
2071,5101,203
2446,5599,203
2461,5687,203
2395,4915,203
2365,5572,203
2430,5487,203
2196,5034,202
2219,5536.5,202
2103,5150,202
2276,5116.5,202
2475,4850,202
860,2694.5,202
2412,5812.5,202
2501,5608.5,202
2277,5457,202
1678,4507,202
774,2545,202
2473,5749,202
2662,6072,202
2257,5240.5,202
793,2381,202
2307,5406,202
2386,5598,202
2306,5416,201
2537,5690,201
830,2261,201
2337,5042,201
720,2282,201
2113,4786,201
2264,5399,201
2278,5064,201
2527,5879,201
2447,5550,201
2595,5602,201
2266,5391,201
2373,5416,201
2309,5646,201
2283,4851,201
770,2384,201
1832,4631,201
2631,5815,201
2359,5684.5,200
2618,6027,200
1072,3217.5,200
2223,5195.5,200
2234,5481,200
805,2436.5,200
846,2271.5,200
2401,5060,200
2794,5900,200
2149,4719.5,200
2351,5911,200
2391,5989.5,200
2517,5282.5,200
2072,5259,200
2883,6385.5,200
779,2398,200
975,2572,199
2624,5510,199
2154,4785,199
2628,5690,199
2455,5583,199
2449,5576,199
934,3065,199
2317,5101,199
2178,4658,199
2296,5294,199
1006,2955,199
758,2145,199
2790,5824,199
1091,3040,199
2172,4972,199
2417,5561,199
2530,5232,199
2575,5806,199
2342,5716,199
2211,5352.5,198
2504,5883.5,198
2340,5522,198
852,2439.5,198
2270,5711.5,198
831,2325,198
2101,4755,198
2260,5096,198
2556,5803.5,198
2659,5300.5,198
2404,4958,198
2280,5392.5,198
2534,5666,198
2233,5691,198
2015,4678,198
891,2826.5,198
2755,6132,198
2216,4991.5,198
2367,5260.5,198
2701,5977,198
2591,5849,198
763,2203,197
742,2379,197
2503,5344,197
2191,4901,197
2608,5354,197
2145,5158,197
2368,4894,197
2258,5355,197
2352,5451,197
2324,5042,197
2349,5629,197
725,2436,197
1042,3005,197
2559,5018,197
2362,5272,197
811,2554,197
2416,5425,197
2382,5270,197
718,2332,197
765,2525,197
2611,6012.5,196
2453,5181,196
825,2341,196
2508,5679,196
2133,5206.5,196
2383,5261.5,196
2498,5785.5,196
843,2425.5,196
2673,6107.5,196
2548,5623,196
2488,5586,196
2097,5031.5,196
2459,5442,196
2372,5370.5,196
2138,4924,195
2325,5546,195
2465,4907,195
2579,6034,195
2315,5649,195
2147,4989,195
2529,5728,195
775,2453,195
2490,5638,195
764,2342,195
2338,5396,195
2761,6065,195
2339,5305,195
2676,5442,195
2653,5713,195
823,2548.5,194
2641,5738.5,194
2632,5365,194
2153,5256,194
2600,5834,194
2369,5641,194
2344,5445.5,194
2445,5475,194
920,2626.5,194
2148,4872,194
845,2448,194
2551,5949,194
2346,5354.5,194
2541,5461.5,194
2355,5554,194
853,2451.5,194
1955,4823,193
2468,6234,193
2561,5532,193
2164,5534,193
2243,5150,193
2389,5514,193
818,2416,193
809,2467,193
2746,6065,193
2646,5650,193
2617,5698,193
2187,4729,193
842,2536,193
2179,5362,193
2582,5663,193
824,2456,193
2879,5628,193
2583,5391,193
2644,5308,193
2724,5357,193
761,2257,193
2602,5435,193
723,2200,193
2384,5530,193
2290,4936,193
2403,5625,193
2642,5669.5,192
2550,5148.5,192
2620,5954.5,192
2846,5943,192
2485,5477,192
782,2639,192
2303,5397.5,192
2393,5466.5,192
2397,5234,192
