"pagegroupname","devicetypename","goalcomplete","bucket","session_loadtime","sticky_beacons","session_persistence","session_persistence_25","session_persistence_50","session_persistence_75","avg_page_index","avg_page_position","page_beacons","page_timer","session_length","sessions","beacons","non_bounce_sessions","bounces","page_visit_time","session_duration","bounce_rate","session_duration_minutes","bucket_label","retention_rate","beacon_pc","website"
"article","Desktop",0,10100,39726.961831242,15893,3.857,1,2,5,3.311,0.778573294,33001,10051.0,5.169,33001,154164,4463,9139,193,1320,32.02,22.0,"10.0 - 10.1 s",0.4815914669252447,1.0,3
"article","Desktop",0,10200,39966.89308111,15586,3.833,1,2,5,3.261,0.778404466,32402,10150.0,5.105,32402,149636,4248,9183,196,1315,32.62,21.92,"10.1 - 10.2 s",0.4810196901425838,1.0,3
"article","Desktop",0,10300,40425.550826924,15246,3.825,1,2,5,3.299,0.779361444,31595,10250.0,5.145,31595,147073,4124,8873,196,1337,32.3,22.28,"10.2 - 10.3 s",0.48254470644089253,1.0,3
"article","Desktop",0,10400,40319.997311268,14850,3.819,1,2,5,3.271,0.77879452,30896,10351.0,5.107,30896,142350,4198,8630,192,1297,32.32,21.62,"10.3 - 10.4 s",0.48064474365613674,1.0,3
"article","Desktop",0,10500,41523.082032009,14428,3.753,1,2,5,3.271,0.77970396,29929,10450.0,5.081,29929,137022,4046,8412,197,1317,32.5,21.95,"10.4 - 10.5 s",0.48207424237361757,1.0,3
"article","Desktop",0,10600,41715.739576026,13767,3.787,1,2,5,3.26,0.781942121,28861,10550.0,5.067,28861,132362,3791,8194,197,1312,32.68,21.87,"10.5 - 10.6 s",0.47701049859672223,1.0,3
"article","Desktop",0,10700,41468.493708625,13648,3.813,1,2,5,3.249,0.779530244,28508,10650.0,5.075,28508,130900,3764,8149,195,1297,32.93,21.62,"10.6 - 10.7 s",0.47874280903606004,1.0,3
"article","Desktop",0,10800,42299.759460281,13249,3.794,1,2,5,3.277,0.781431425,27790,10749.0,5.086,27790,127799,3648,7769,195,1296,32.18,21.6,"10.7 - 10.8 s",0.47675422813961854,1.0,3
"article","Desktop",0,10900,42290.930372994,12799,3.774,1,2,5,3.249,0.784305374,27070,10851.0,5.034,27070,123049,3625,7706,197,1330,32.87,22.17,"10.8 - 10.9 s",0.47281123014407095,1.0,3
"article","Desktop",0,11000,42544.243380468,12574,3.837,1,2,5,3.268,0.780741714,26365,10951.0,5.098,26365,120845,3586,7477,198,1329,32.82,22.15,"10.9 - 11.0 s",0.4769201593021051,1.0,3
"article","Desktop",0,11100,43000.667512555,12276,3.807,1,2,5,3.228,0.779449129,25609,11050.0,5.053,25609,116714,3467,7240,195,1297,32.7,21.62,"11.0 - 11.1 s",0.4793627240423289,1.0,3
"article","Desktop",0,11200,43673.350028166,11861,3.763,1,2,5,3.259,0.784993998,25195,11150.0,5.03,25195,114228,3400,7166,196,1295,32.88,21.58,"11.1 - 11.2 s",0.4707680095256995,1.0,3
"article","Desktop",0,11300,43943.438004002,11710,3.807,1,2,5,3.268,0.781939193,24621,11250.0,5.079,24621,112914,3365,7116,198,1313,33.48,21.88,"11.2 - 11.3 s",0.4756102514113968,1.0,3
"article","Desktop",0,11400,44290.693712875,11366,3.837,1,2,5,3.19,0.782334732,24098,11350.0,5.0,24098,108484,3178,6994,196,1306,33.43,21.77,"11.3 - 11.4 s",0.47165739895427006,1.0,3
"article","Desktop",0,11500,44306.636703781,11009,3.826,1,2,5,3.251,0.781242995,23110,11450.0,5.074,23110,105434,3096,6580,198,1323,32.88,22.05,"11.4 - 11.5 s",0.4763738641280831,1.0,3
"article","Desktop",0,11600,44638.74247962,10805,3.759,1,2,5,3.241,0.78321296,22871,11551.0,5.017,22871,103282,3046,6568,199,1309,33.13,21.82,"11.5 - 11.6 s",0.47243233789515104,1.0,3
"article","Desktop",0,11700,44347.605448831,10640,3.791,1,2,5,3.214,0.780898408,22443,11650.0,5.011,22443,101370,3007,6500,196,1280,33.44,21.33,"11.6 - 11.7 s",0.474089916677806,1.0,3
"article","Desktop",0,11800,45364.794333738,10217,3.835,1,2,5,3.241,0.786207507,22045,11750.0,5.018,22045,99596,2955,6438,197,1312,33.72,21.87,"11.7 - 11.8 s",0.46346110229076887,1.0,3
"article","Desktop",0,11900,45809.719659258,9923,3.824,1,2,5,3.277,0.785495465,21265,11851.0,5.061,21265,96582,2977,6089,199,1299,33.3,21.65,"11.8 - 11.9 s",0.4666353162473548,1.0,3
"article","Desktop",0,12000,46309.845055814,9922,3.817,1,2,5,3.258,0.782191574,21017,11950.0,5.06,21017,95325,2960,6058,198,1282,33.55,21.37,"11.9 - 12.0 s",0.4720940191273731,1.0,3
"article","Desktop",0,12100,46261.33097822,9853,3.773,1,2,5,3.23,0.780997054,20709,12050.0,5.026,20709,93584,2822,5920,201,1316,33.1,21.93,"12.0 - 12.1 s",0.4757834757834758,1.0,3
"article","Desktop",0,12200,46832.94268171,9385,3.828,1,2,5,3.204,0.783647908,20023,12150.0,4.998,20023,90002,2649,5821,197,1273,33.5,21.22,"12.1 - 12.2 s",0.4687109823702742,1.0,3
