IMAGE_SIZE,TTI,FREQ
71854,6612.000,13588
44209,3348.000,13587
307732,7802.000,13586
49105,10502.000,13541
40220,4666.500,13524
379441,5177.000,13485
355602,4944.000,13483
804321,1890.000,13475
58739,5600.000,13456
165515,3726.500,13454
7096,6665.000,13453
6978,6239.500,13420
563509,4528.000,13414
263165,6651.000,13390
8824,3071.000,13389
86432,4305.000,13383
6645,5532.000,13380
223782,5735.000,13343
417113,5299.000,13327
34576,3400.000,13321
294955,9726.500,13318
176413,4768.500,13310
1045180,6793.500,13294
92462,6609.000,13293
398890,2611.000,13291
47113,12942.000,13286
7160,4139.000,13274
73496,8661.000,13267
128418,6820.000,13263
1802722,3437.000,13255
249023,3156.500,13244
71749,4939.000,13222
849,2966.000,13215
6729,8309.000,13161
26995,6052.000,13129
216619,1437.000,13119
144234,4268.000,13111
1818289,4843.000,13075
34497,1423.000,13070
224106,1282.000,13063
12342,3476.500,13062
44091,2605.000,13036
167787,2361.500,13026
58643,2647.000,13001
133115,5313.000,12961
894,4933.000,12961
31589,3500.500,12956
647769,4917.000,12938
686742,3142.000,12920
1008,5005.000,12899
32768,4171.000,12883
454171,3602.500,12878
2637,13101.000,12865
1318,5683.000,12849
1494700,2905.000,12836
41385,9726.500,12782
1254575,2382.000,12779
3153,11190.000,12769
345261,10005.000,12754
54394,4314.000,12736
1509518,5233.000,12727
11983,2804.000,12717
627947,6480.000,12713
13705,4247.000,12693
38673,7802.000,12687
558706,3822.000,12654
495800,5428.500,12628
301351,3646.000,12622
249413,6797.000,12613
34764,9733.500,12600
3030,6829.000,12588
60030,5691.000,12583
2499144,6437.000,12579
139483,3518.000,12573
877552,4870.000,12567
22658,5037.500,12548
1360999,2235.500,12546
92170,9524.000,12541
4255,7335.000,12535
4110,8922.000,12527
5828,4227.500,12480
41306,4027.000,12439
18797,4835.000,12439
252025,9144.500,12430
473,9596.000,12419
1817596,4366.500,12414
6652,6511.000,12391
350410,2823.000,12383
6396,5020.500,12340
44854,5283.000,12333
63210,1170.000,12324
42197,7728.000,12298
1192,5055.000,12288
42914,2102.000,12279
17896,2434.000,12270
26636,6646.000,12261
49752,2299.000,12259
28355,6376.000,12252
252027,9231.000,12247
3231152,4444.000,12245
142557,7524.000,12242
6261,5055.000,12223
18008,1754.000,12221
11882,3906.000,12217
258696,3065.000,12207
79,5647.000,12188
51038,6778.500,12180
23718,3978.000,12176
541247,8746.000,12139
38685,7841.000,12139
68850,2679.000,12117
46370,3702.000,12114
287055,6634.500,12112
67477,3547.000,12107
9626,4734.000,12107
2505,6564.000,12093
4775,2048.000,12080
8343,4071.000,12074
39321,5133.000,12073
364383,3151.000,12053
3553,10952.500,12052
62551,5720.000,12048
28949,4215.000,12008
3972,3322.500,12006
168029,3495.000,12005
57904,5875.000,12003
48206,2080.000,11987
183259,8057.000,11982
187090,7686.500,11982
277941,5366.000,11953
12162,1992.500,11948
8921,6699.000,11933
174595,2140.000,11913
4127622,3772.000,11887
6104,6230.500,11884
2173594,2248.000,11883
84548,2750.500,11868
29894,10739.000,11858
277088,6570.000,11833
346886,3233.000,11833
13324,14641.000,11829
301315,5435.000,11829
122068,3640.000,11826
205046,3793.000,11817
8691,336955.000,11811
645421,7152.000,11805
129839,7648.000,11795
8203,2452.000,11794
3016,10440.500,11784
62596,5950.000,11775
3240,3975.000,11773
18930,3013.000,11768
2137,12099.000,11766
41896,4400.000,11763
4223788,3982.500,11752
1622263,2266.000,11751
402248,5133.000,11746
654339,3657.000,11742
91802,5911.000,11733
1219168,3707.000,11727
35391,4876.000,11722
7259,8931.500,11722
59970,7400.500,11720
6231,7362.000,11717
3778,9806.000,11710
180118,6477.500,11696
7863,5130.000,11691
490349,4908.000,11668
428062,5810.000,11652
5545,2700.000,11643
1053435,1231.000,11639
477980,6127.500,11616
66016,2596.000,11613
264,5442.000,11612
6736,6866.000,11611
40693,7712.500,11598
939123,5046.000,11591
37773,7141.500,11578
2022,3453.000,11564
11654,3398.000,11559
307341,8728.000,11557
5831,6646.000,11556
4938,4318.000,11551
384273,3785.000,11545
583283,5063.000,11535
16247,11328.000,11532
46655,2672.000,11531
25492,5027.000,11519
58931,2401.500,11518
135912,6074.000,11509
2542,4854.000,11507
650903,14140.500,11488
9867,4996.000,11486
6529,1920.000,11473
2892,8715.000,11471
17489,4675.000,11471
76750,8672.000,11453
69774,3250.500,11438
634373,7558.000,11427
167830,3834.000,11427
53388,4516.000,11416
37699,5647.000,11416
80678,6694.000,11415
163915,10013.000,11413
173597,6774.000,11395
85962,7111.000,11390
1042533,5833.000,11384
45737,4904.500,11378
7241170,3987.000,11366
65446,3268.000,11364
369506,9007.000,11351
13839,2965.000,11349
1844,8213.000,11348
8550,4015.000,11330
364,2760.000,11291
85964,7007.500,11284
164877,9348.500,11280
41593,7600.000,11275
648615,10792.000,11269
34953,5889.000,11254
1176468,6371.000,11240
646594,9548.500,11226
61186,8164.000,11225
23715,9566.500,11210
15174,2183.000,11184
299971,5698.000,11175
90751,6064.000,11175
93220,10532.000,11173
158011,3249.000,11173
14101,6328.000,11163
2212,5033.000,11158
6820,9551.000,11147
463623,10720.000,11142
157536,5397.000,11136
4769917,3955.500,11108
63960,3725.000,11101
284056,4340.000,11051
34259,3466.500,11042
30536,6533.000,11039
61254,8576.000,11031
752845,4633.000,11019
125408,8253.000,11018
660785,7735.000,11014
5022,8598.000,11005
61377,4938.000,11003
390700,7359.500,10990
53022,2629.000,10978
1081,1366.000,10973
332383,7098.000,10961
