DOM_SIZE,TTI,FREQ
290,4225,136321
1660,6105,136260
2281,5600,136150
690,4879,136147
798,4937,136126
95,3508.5,136018
1252,5517,135962
627,4326,135925
1336,5474,135908
775,4623,135763
1691,6115.5,135712
1743,5537,135682
1720,6257,135626
830,4900.5,135618
444,6061,135612
1392,5425,135516
1251,5611,135471
777,4561,135283
2696,4364,135279
679,4586,135236
1274,5643,135139
447,5676,135106
723,5993,135075
812,4640,135008
531,4258,134999
835,4888,134984
778,4516,134896
796,4853,134871
698,4629,134830
716,5483,134758
1716,6486,134723
1904,6391,134577
1402,5630,134439
1353,5347,134411
1956,5642,134301
1243,5533,134257
1346,5480,134232
733,5127,134223
1334,5672,134221
1245,5395,134211
676,5076,134136
1722,6090,134129
1725,6063,134098
1345,5421,134070
761,5139,134064
1771,6060,134045
787,4786,134016
783,4721,133994
680,4837,133873
695,4745,133864
722,6072,133863
791,4772,133704
1739,5536,133604
718,5524,133463
1845,5785,133457
1267,5656,133427
1731,5821,133392
1938,5485,133314
756,5126,133300
193,4869,133281
1724,6250,133278
1397,5468,133237
862,4909,133209
1335,5482,133163
1399,5572,133156
1698,5748,133099
1247,5547,133015
686,5051,132996
1818,6163,132956
1266,5575,132952
438,6202,132840
1664,6034,132793
1816,6084,132645
782,4629,132624
7,608,132572
454,6372,132535
439,6768,132522
668,4608,132508
345,4142,132456
689,5063,132455
1690,5991,132305
1248,5746,132141
1343,5390,132028
1867,5509,132020
550,5067,132005
697,4702,132003
395,5440,131965
1933,6025,131908
1665,6080,131865
681,5163,131857
1723,6274,131811
590,5078,131761
1931,6236,131722
1746,5688,131698
1859,7069,131681
1748,5731,131661
397,6536,131644
1934,6035,131481
1776,6036,131423
601,4677,131373
2282,5539,131321
766,5152,131313
1401,5532,131292
1669,6067,131213
626,4483,131208
435,6207,131043
1749,5864,131010
792,4833,131000
669,5049,130997
560,4752,130974
1817,6117,130936
1662,5976,130881
1349,5389,130875
1826,6280,130744
1834,5796,130647
1344,5397,130623
789,4810,130588
804,4630,130575
593,4587,130572
2049,6128,130521
712,5326,130512
542,4875,130382
711,4933.5,130314
206,5981,130308
699,4709,130266
79,3395,130222
615,5417,130084
1857,6818,130079
1770,6057,130036
655,4920.5,129970
629,4513,129847
1738,5700,129748
446,5736,129708
64,3460,129699
1250,5686,129696
543,5123,129656
781,4694,129650
1744,5804,129577
799,4808,129557
808,4688,129525
827,4886,129520
1721,6322,129415
1667,6248,129305
1919,5350,129256
696,4679,129169
715,5734,129155
728,6026,129149
1870,5449,129147
741,5220,129042
805,4649,128993
811,4619,128625
793,4775,128618
684,5252,128569
1943,5529,128442
1663,5974,128403
774,4679,128241
301,7922,128217
459,6532,128174
730,5634,128112
800,4788,128004
771,5124,127997
724,6101,127967
1768,5971,127876
1766,5920,127859
331,5080,127836
762,5210,127835
1811,6588,127778
685,4995,127483
628,4364,127346
714,5593,127338
776,4685,127332
482,5341,127135
1714,5928,127003
806,4832,126953
677,5081,126931
