"pagegroupname","devicetypename","goalcomplete","bucket","session_loadtime","sticky_beacons","session_persistence","session_persistence_25","session_persistence_50","session_persistence_75","avg_page_index","avg_page_position","page_beacons","page_timer","non_bounce_sessions","page_visit_time","session_duration","session_length","sessions","bounces","beacons","bounce_rate","session_duration_minutes","bucket_label","retention_rate","beacon_pc","website"
"article","Desktop","0","6300","4843.347008579","3459","2.314","1","1","3","1.736","0.787549489","8541","6249.0","194","30","151","2.673","8541","3930","22245","47.08","2.52","6.2 - 6.3 s","0.40498770635756937","0.44652081699818036","5"
"article","Desktop","0","6400","4967.957106121","3447","2.371","1","1","2","1.789","0.782307635","8264","6351.0","189","31","166","2.778","8264","3768","22327","46.66","2.77","6.3 - 6.4 s","0.4171103581800581","0.44652081699818036","5"
"article","Desktop","0","6500","5078.584747098","3319","2.343","1","1","2","1.738","0.777720184","7853","6450.0","170","31","167","2.728","7853","3526","20942","45.89","2.78","6.4 - 6.5 s","0.4226410289061505","0.44652081699818036","5"
"article","Desktop","0","6600","5029.907614236","3041","2.286","1","1","3","1.719","0.783859043","7414","6551.0","153","32","165","2.657","7414","3423","20083","47.14","2.75","6.5 - 6.6 s","0.4101699487456164","0.44652081699818036","5"
"article","Desktop","0","6700","5171.988966986","2910","2.36","1","1","2","1.716","0.789174142","7231","6650.0","147","31","155","2.666","7231","3442","18868","48.59","2.58","6.6 - 6.7 s","0.4024339648734615","0.44652081699818036","5"
"article","Desktop","0","6800","5517.183757993","2793","2.379","1","1","3","1.753","0.788490232","6906","6751.0","150","30","159","2.715","6906","3219","18263","47.65","2.65","6.7 - 6.8 s","0.4044309296264118","0.44652081699818036","5"
"article","Desktop","0","6900","5466.967361403","2623","2.319","1","1","3","1.711","0.785533696","6434","6850.0","134","31","153","2.656","6434","3038","16645","48.22","2.55","6.8 - 6.9 s","0.4076779608330743","0.44652081699818036","5"
"article","Desktop","0","7000","5472.129485725","2547","2.473","1","1","3","1.735","0.78451252","6266","6950.0","147","33","170","2.74","6266","2972","16659","48.57","2.83","6.9 - 7.0 s","0.4064794127034791","0.44652081699818036","5"
"article","Desktop","0","7100","5549.544117233","2354","2.327","1","1","2","1.703","0.791134028","5951","7051.0","109","31","157","2.624","5951","2854","15245","48.85","2.62","7.0 - 7.1 s","0.3955637707948244","0.44652081699818036","5"
"article","Desktop","0","7200","5731.051024066","2256","2.304","1","1","3","1.713","0.796464051","5790","7150.0","122","31","153","2.611","5790","2825","14912","49.84","2.55","7.1 - 7.2 s","0.38963730569948185","0.44652081699818036","5"
"article","Desktop","0","7300","6180.111213375","2199","2.346","1","1","2","1.687","0.795365493","5628","7250.0","112","32","159","2.604","5628","2774","14320","50.29","2.65","7.2 - 7.3 s","0.39072494669509594","0.44652081699818036","5"
"article","Desktop","0","7400","5790.195672122","2104","2.39","1","1","3","1.741","0.789339896","5289","7351.0","132","34","174","2.692","5289","2531","13786","49.08","2.9","7.3 - 7.4 s","0.3978067687653621","0.44652081699818036","5"
"article","Desktop","0","7500","6079.610841664","1999","2.305","1","1","2","1.67","0.79921368","5241","7450.0","127","31","148","2.549","5241","2560","13014","50.06","2.47","7.4 - 7.5 s","0.38141576035107805","0.44652081699818036","5"
"article","Desktop","0","7600","6410.318132432","1967","2.32","1","1","3","1.673","0.791484261","4995","7551.0","82","32","153","2.587","4995","2437","12653","49.6","2.55","7.5 - 7.6 s","0.3937937937937938","0.44652081699818036","5"
"article","Desktop","0","7700","6334.482039477","1851","2.438","1","1","3","1.68","0.793029962","4764","7650.0","107","32","160","2.628","4764","2368","12188","50.85","2.67","7.6 - 7.7 s","0.3885390428211587","0.44652081699818036","5"
"article","Desktop","0","7800","6277.573801331","1814","2.302","1","1","3","1.707","0.796132986","4732","7750.0","107","30","151","2.59","4732","2349","11880","50.79","2.52","7.7 - 7.8 s","0.38334742180896025","0.44652081699818036","5"
"article","Desktop","0","7900","6483.476793876","1718","2.311","1","1","3","1.707","0.798695789","4484","7851.0","98","30","159","2.593","4484","2207","11313","50.32","2.65","7.8 - 7.9 s","0.3831400535236396","0.44652081699818036","5"
"article","Desktop","0","8000","6704.958623785","1581","2.399","1","1","3","1.645","0.802861488","4251","7950.0","88","31","147","2.538","4251","2161","10527","51.91","2.45","7.9 - 8.0 s","0.37191249117854625","0.44652081699818036","5"
"article","Desktop","0","8100","6775.439881361","1538","2.369","1","1","3","1.632","0.797032691","4067","8051.0","98","32","153","2.528","4067","2079","9985","52.38","2.55","8.0 - 8.1 s","0.3781657241209737","0.44652081699818036","5"
