DEVICETYPENAME,JS_SIZE,TTI,FREQ
Mobile,1730000,12941.000,3315
Tablet,1110000,11523.000,3236
Tablet,1170000,17925.000,3234
Mobile,1470000,8003.000,3195
Tablet,1020000,17666.000,3182
Mobile,1580000,6862.000,3104
Mobile,2060000,14913.000,3086
Desktop,2200000,13247.000,3072
Mobile,2530000,18198.000,3011
Desktop,2400000,8299.000,2961
Mobile,1520000,9347.500,2934
Mobile,2140000,16285.500,2910
Tablet,1010000,21275.000,2849
Desktop,2540000,7998.000,2821
Tablet,1030000,18479.000,2815
Mobile,2090000,13591.000,2787
Desktop,2800000,6553.000,2727
Desktop,2040000,5371.000,2727
Mobile,1460000,7878.500,2712
Mobile,2080000,13427.000,2695
Desktop,1720000,4977.500,2640
Tablet,1130000,14223.000,2617
Desktop,1730000,7092.000,2616
Desktop,2030000,6892.000,2612
Desktop,1600000,5870.000,2569
Tablet,1050000,16567.000,2567
Mobile,2070000,14239.000,2539
Desktop,2230000,4544.000,2515
Desktop,2240000,5319.000,2503
Desktop,2600000,7920.000,2497
Desktop,1740000,5735.000,2489
Mobile,2550000,19404.000,2483
Desktop,2130000,6659.000,2481
Tablet,1260000,15030.500,2446
Mobile,1480000,7883.000,2443
Desktop,2300000,5929.500,2408
Desktop,2140000,6282.000,2396
Desktop,2350000,5729.000,2387
Desktop,2480000,8375.000,2356
Tablet,1080000,16933.000,2340
Desktop,4430000,6615.500,2340
Desktop,1630000,5885.000,2328
Desktop,1620000,6212.000,2282
Desktop,2080000,6502.000,2195
Desktop,2630000,7833.000,2160
Tablet,1040000,17786.000,2127
Desktop,2100000,6040.500,2104
Tablet,1070000,18204.000,2097
Tablet,1140000,17791.000,2091
Tablet,1320000,15965.500,2060
Mobile,2300000,7852.000,2057
Desktop,2880000,11312.000,2023
Tablet,1240000,12980.000,1991
Desktop,2850000,10926.000,1985
Desktop,2210000,5537.000,1984
Desktop,2050000,5783.000,1973
Desktop,3120000,8575.500,1960
Mobile,1620000,8770.000,1882
Desktop,2650000,7276.000,1879
Desktop,2580000,7157.500,1864
Desktop,2070000,5689.500,1846
Desktop,2510000,5313.000,1845
Tablet,1180000,15064.000,1830
Desktop,2500000,9416.500,1828
Desktop,4340000,6758.000,1803
Desktop,2570000,7240.000,1801
Desktop,1650000,6469.500,1798
Desktop,1700000,7862.000,1795
Desktop,4320000,11247.500,1792
Desktop,2290000,5729.000,1791
Mobile,1640000,8572.000,1789
Mobile,1660000,10776.000,1777
Desktop,2110000,7466.500,1748
Tablet,1590000,10732.000,1745
Desktop,2250000,5474.000,1730
Desktop,2430000,6704.500,1728
Desktop,2610000,6312.000,1705
Mobile,1600000,6825.000,1700
Desktop,2280000,6395.000,1695
Desktop,2420000,6439.000,1686
Desktop,1660000,6943.000,1679
Desktop,1690000,6765.000,1679
Desktop,4450000,6874.000,1668
Desktop,1680000,6652.000,1663
Desktop,2260000,5916.000,1630
Desktop,1670000,6523.000,1607
Tablet,1250000,14367.000,1600
