TTI,IMAGES,FREQ
3657,69.094798,55117
3617,69.128253,55110
3635,68.584281,55107
3604,68.469005,55106
3575,67.884622,55106
3693,68.144763,55104
3717,69.574159,55098
3605,68.716713,55096
3680,68.028207,55092
2820,67.004901,55091
3663,68.627153,55087
2852,67.408245,55087
3692,68.774585,55085
2716,66.550180,55082
3700,68.570796,55074
3625,68.175828,55071
3623,69.176444,55060
3612,68.305767,55055
2822,67.584862,55054
2799,67.377920,55054
2811,67.508737,55052
2750,66.942254,55051
3727,68.633285,55051
3696,67.807804,55048
2851,67.857776,55047
3651,68.547196,55037
2855,67.925101,55034
3557,68.925065,55034
3608,68.945409,55027
3592,69.057609,55026
3684,68.505588,55025
3637,68.021610,55021
2869,67.708955,55019
2764,67.415101,55018
3806,68.901023,55013
3677,68.461408,55012
2860,68.090983,55010
2843,68.301023,55009
3689,69.061629,55007
3725,69.398931,55002
2756,67.086070,55002
3622,69.273722,55001
3772,68.306671,54997
2839,68.103466,54994
2785,67.192276,54994
3687,69.012184,54992
3732,68.525431,54991
2790,68.000655,54990
3427,68.588794,54987
3634,68.503974,54985
3690,69.180571,54981
2832,67.809233,54978
3747,68.479872,54973
2831,67.361195,54962
2864,67.679233,54962
3620,68.373337,54961
3653,68.192816,54959
2830,69.050312,54957
2819,68.208898,54955
2796,67.252020,54948
3685,69.141469,54938
3718,68.525584,54937
3731,68.675422,54936
3621,69.161560,54933
3711,68.347418,54931
2805,67.495112,54929
3659,68.883536,54927
3679,68.145750,54923
3591,68.741114,54920
3661,68.818678,54919
3639,68.798671,54915
2545,64.316367,54914
3643,68.179645,54914
2787,67.474222,54911
2786,67.778031,54904
3783,68.459409,54901
2845,67.668209,54899
3733,68.131865,54897
2844,67.571197,54897
3833,69.084235,54894
3702,68.426854,54890
2817,66.886282,54890
2781,67.057571,54889
3748,68.206963,54889
2806,67.476797,54885
3574,67.669266,54884
3577,68.992238,54880
3647,69.234534,54879
3782,68.808076,54876
3628,69.178661,54875
3834,68.860933,54873
2791,67.398083,54873
2804,67.743872,54871
3784,67.672742,54868
3787,68.611300,54865
3706,68.360133,54863
2748,66.679196,54859
3668,69.247216,54859
3655,68.806500,54858
3730,68.122612,54856
3707,68.458281,54855
2768,67.816959,54851
3708,68.548712,54843
3688,68.932170,54843
3767,68.711433,54840
3770,68.487764,54838
3750,69.289312,54837
3671,69.074478,54835
2838,69.751582,54831
2808,66.322918,54822
2871,68.880502,54821
2775,67.917255,54819
3695,69.009541,54816
2752,65.891581,54815
2753,67.663292,54813
3728,68.186214,54808
2759,66.603602,54801
3714,68.535240,54796
2783,66.656653,54790
3781,68.740258,54789
3703,68.686644,54778
3662,69.021999,54775
3774,68.276225,54767
2777,67.788686,54762
3743,69.349647,54761
3654,68.897279,54760
2763,66.441808,54750
3780,68.551178,54750
2837,68.238246,54746
3701,68.454424,54744
2749,66.845713,54742
3769,68.703014,54740
3705,68.570708,54739
3704,68.323401,54737
3761,68.521056,54735
2778,68.404308,54733
2792,68.513512,54731
2859,68.573517,54729
3673,68.909860,54726
3716,68.788340,54715
3737,68.835274,54715
3697,67.969037,54711
2733,67.259093,54710
3715,68.042079,54707
2773,67.503565,54706
