DEVICETYPENAME,LAST_FONT_TIME,TTI,FREQ
Desktop,23100,24223.000,83
Mobile,24200,26693.500,82
Tablet,11300,14162.000,81
Mobile,24400,27097.000,81
Mobile,25400,28912.500,80
Tablet,11800,15766.000,78
Mobile,23100,24785.500,78
Mobile,23700,26556.000,78
Tablet,11500,15141.000,78
Desktop,24700,28295.000,77
Mobile,23000,25791.000,76
Tablet,11700,15308.000,75
Tablet,12700,18351.500,74
Mobile,23900,25729.000,73
Desktop,25300,28211.000,73
Mobile,24600,27487.500,72
Tablet,12800,15804.000,72
Desktop,24400,26845.500,72
Desktop,26500,28629.000,72
Mobile,25100,26998.500,72
Desktop,27500,29159.500,72
Mobile,24100,27234.500,72
Tablet,11600,14459.000,71
Desktop,25400,27261.000,71
Tablet,12100,15040.000,71
Tablet,11900,15131.000,71
Mobile,24000,27064.500,70
Mobile,25300,27757.500,70
Tablet,12000,16578.000,69
Desktop,24800,28131.000,69
Mobile,24500,26818.000,69
Desktop,24500,25898.500,68
Desktop,26900,30046.000,68
Mobile,25800,28222.000,67
Desktop,25200,26867.000,67
Mobile,26600,29720.000,66
Mobile,25900,28594.000,65
Tablet,12300,15878.000,65
Desktop,24900,26969.000,65
Desktop,30900,33621.000,65
Desktop,27400,29937.000,65
Tablet,13200,18216.500,64
Tablet,13100,16552.000,64
Desktop,25100,28427.000,64
Tablet,12900,19108.000,64
Desktop,27100,29712.000,63
Mobile,23500,25559.000,63
Mobile,24900,25365.000,63
Mobile,26500,28861.000,63
Tablet,12600,16070.000,63
Desktop,27700,30281.000,63
Mobile,27300,30469.000,63
Desktop,28600,30844.500,62
Mobile,24300,28688.000,62
Desktop,27200,29434.000,62
Mobile,26100,27415.500,62
Mobile,24800,26072.000,62
Mobile,26200,29201.500,62
Mobile,25500,28736.000,62
Mobile,27600,29903.000,61
Mobile,26800,28922.000,61
Mobile,24700,26465.000,61
Desktop,26000,27254.000,61
Desktop,25700,27616.500,60
Desktop,25800,28128.000,59
Desktop,25500,27495.000,59
Mobile,27000,31328.000,59
Tablet,13000,17348.000,58
Desktop,29100,31397.500,58
Desktop,25000,27630.500,58
Mobile,25200,28980.000,57
Desktop,28200,29945.000,57
Tablet,12400,16927.000,55
Desktop,31100,35046.000,55
Desktop,26300,31059.000,55
Mobile,25000,28106.000,55
Desktop,27300,29621.000,54
Tablet,12500,15708.000,54
Mobile,26900,29557.500,54
Desktop,29500,32283.000,53
Desktop,26600,28701.000,53
Desktop,28300,30767.000,53
Tablet,12200,15269.000,53
Desktop,32300,34194.000,53
Desktop,26400,29284.000,53
Mobile,25600,30008.000,53
Mobile,30500,35981.000,53
Desktop,27600,30377.000,53
Mobile,26000,29928.000,53
Tablet,14000,18566.500,52
Desktop,26800,30892.000,52
Desktop,27800,30448.500,52
Desktop,28100,29637.500,52
Desktop,25600,28355.500,52
Mobile,27700,29785.500,52
Mobile,28000,30278.500,52
Mobile,27500,31453.500,52
Mobile,27800,31169.000,51
Desktop,25900,28580.000,51
Mobile,26700,29324.000,51
Desktop,26200,27359.000,50
Desktop,28400,31119.500,50
Mobile,28600,33886.000,50
Mobile,30800,35303.000,50
Desktop,28800,31427.500,50
Mobile,26400,28472.000,50
Tablet,14200,18231.000,50
Desktop,28500,31216.000,49
Desktop,31000,33638.000,49
Desktop,28900,30556.000,49
Desktop,29000,33529.000,49
Mobile,30100,33346.000,48
Desktop,28700,30857.000,48
Mobile,26300,30453.000,48
Tablet,13600,16154.000,48
Desktop,29200,31307.500,48
Desktop,27000,29674.500,48
Tablet,13700,15570.500,48
Desktop,29400,33821.500,48
Mobile,28500,30958.000,47
Desktop,29300,31817.000,47
Tablet,13300,16342.000,47
Desktop,26100,28701.000,47
Tablet,13500,16219.000,47
Desktop,27900,29964.000,46
Mobile,28400,30739.500,46
Tablet,15100,19704.500,46
Mobile,31700,31619.000,45
Mobile,28100,30507.000,45
Desktop,29700,32222.500,44
Desktop,29600,32020.000,44
Tablet,14700,18070.500,44
Desktop,31600,35196.500,44
Mobile,32300,36486.000,44
Mobile,27200,29303.500,44
Mobile,29800,32341.000,44
Mobile,27900,29880.500,44
Tablet,13400,17096.500,44
Mobile,29100,31853.500,44
Tablet,13900,18740.000,44
Desktop,31900,32285.500,44
Mobile,32500,36764.000,43
Desktop,30500,32627.000,43
Desktop,28000,30232.000,43
Mobile,25700,30090.000,43
Mobile,27100,28576.000,43
Mobile,29400,34709.000,43
Mobile,29600,34322.000,43
Mobile,28900,33022.000,43
Mobile,27400,29539.500,42
Tablet,14100,18769.000,42
Mobile,30900,34599.000,42
Mobile,30700,36857.000,42
Mobile,31900,36000.000,41
Mobile,31000,33337.000,41
Desktop,31400,35451.000,41
Desktop,30200,33423.000,41
Mobile,28200,31310.000,41
Tablet,15200,18279.000,41
Desktop,26700,28784.000,40
Tablet,14300,18272.000,40
Desktop,29900,32320.000,40
Desktop,31200,34254.500,40
Desktop,31300,33486.500,40
Desktop,31800,34140.000,39
Mobile,28300,31785.000,39
Mobile,31200,34303.000,39
Desktop,33200,36523.000,39
Desktop,30100,33175.000,39
Mobile,31500,35151.000,39
Tablet,13800,17385.000,39
