DEVICETYPENAME,IMAGES,TTI,FREQ
Tablet,187,5500.000,130521
Desktop,316,4810.000,130283
Desktop,295,4523.000,130021
Mobile,564,3715.000,129986
Tablet,124,5493.000,129918
Desktop,305,5071.000,129830
Tablet,120,5007.000,129775
Mobile,287,4529.000,129704
Desktop,428,5459.000,129517
Desktop,298,4463.000,129419
Desktop,512,6810.000,128807
Mobile,489,4559.000,128325
Desktop,356,4844.000,128066
Mobile,398,3281.000,127811
Desktop,370,4646.000,127511
Mobile,455,3310.500,127184
Desktop,357,4768.000,127010
Tablet,465,8418.000,126912
Desktop,327,4827.000,126891
Mobile,286,4398.000,126848
Tablet,126,5041.000,126846
Mobile,492,4368.000,126477
Desktop,301,4916.000,126346
Mobile,524,4121.000,125860
Desktop,364,4903.000,125797
Desktop,297,4713.000,125701
Desktop,330,5037.000,125461
Desktop,311,4894.500,125422
Mobile,299,4428.000,125392
Desktop,429,5428.000,125276
Mobile,276,4040.000,125110
Desktop,345,5025.000,125061
Desktop,328,5159.000,124397
Desktop,346,5108.000,124306
Mobile,473,3813.000,124129
Desktop,341,5200.000,123917
Mobile,399,3443.000,123905
Desktop,515,5938.000,123888
Desktop,524,5657.000,123413
Desktop,329,5121.000,123357
Tablet,128,5566.000,123285
Desktop,355,5052.000,123182
Desktop,402,4398.000,123032
Mobile,616,4689.000,122896
Mobile,503,4352.000,122686
Desktop,292,4354.000,122643
Desktop,405,4470.000,122542
Desktop,331,5078.000,122017
Desktop,537,4945.000,121982
Mobile,476,3915.000,121706
Tablet,484,7972.000,121383
